"DataCategoryGroupName","DataCategoryName","Id","ParentId"
"KB_General","employees_v","02oQk000000jaYnIAI","ka0Qk000000DCD3IAO"
"KB_General","employees_v","02oQk000000jaaPIAQ","ka0Qk000000DCEfIAO"
"KB_General","employees_v","02oQk000000jac1IAA","ka0Qk000000DCGHIA4"
"KB_General","employees_v","02oQk000000jaddIAA","ka0Qk000000DCHtIAO"
"KB_General","employees_v","02oQk000000jagrIAA","ka0Qk000000DCL7IAO"
"KB_General","employees_v","02oQk000000jsXJIAY","ka0Qk000000DEDFIA4"
"KB_General","employees_v","02oQk000000jsvVIAQ","ka0Qk000000DETNIA4"
"KB_General","employees_v","02oQk000000jzCDIAY","ka0Qk000000DFfZIAW"
"KB_General","employees_v","02oQk000000kFldIAE","ka0Qk000000DHxVIAW"
"KB_General","employees_v","02oQk000000kFwvIAE","ka0Qk000000DHz7IAG"
"KB_General","employees_v","02oQk000000kG09IAE","ka0Qk000000DI0jIAG"
"KB_General","employees_v","02oQk000000kTrpIAE","ka0Qk000000DKlhIAG"
"KB_General","employees_v","02oQk000000kUCnIAM","ka0Qk000000DKs9IAG"
"KB_General","employees_v","02oQk000000ktCnIAI","ka0Qk000000DOhFIAW"
"KB_General","employees_v","02oQk000000ktG1IAI","ka0Qk000000DOirIAG"
"KB_General","employees_v","02oQk000000l1ThIAI","ka0Qk000000DQEPIA4"
"KB_General","employees_v","02oQk000000lBhZIAU","ka0Qk000000DSmTIAW"
"KB_General","employees_v","02oQk000000lCKIIA2","ka0Qk000000DSw9IAG"
"KB_General","employees_v","02oQk000000lD0DIAU","ka0Qk000000DTCHIA4"
"KB_General","employees_v","02oQk000000lDHxIAM","ka0Qk000000DTIjIAO"
"KB_General","employees_v","02oQk000000lDg9IAE","ka0Qk000000DTSPIA4"
"KB_General","employees_v","02oQk000000lDhlIAE","ka0Qk000000DTU1IAO"
"KB_General","employees_v","02oQk000000lDjNIAU","ka0Qk000000DTVdIAO"
"KB_General","employees_v","02oQk000000lDkzIAE","ka0Qk000000DTXFIA4"
"KB_General","employees_v","02oQk000000lW1FIAU","ka0Qk000000DXsbIAG"
"KB_General","employees_v","02oQk000000lWIzIAM","ka0Qk000000DXxRIAW"
"KB_General","employees_v","02oQk000000lY33IAE","ka0Qk000000DYGnIAO"
"KB_General","employees_v","02oQk000000lgYTIAY","ka0Qk000000Dc97IAC"
"KB_General","employees_v","02oQk000000lgv3IAA","ka0Qk000000DcAjIAK"
"KB_General","employees_v","02oQk000000ljWLIAY","ka0Qk000000DdLJIA0"
"KB_General","employees_v","02oQk000000ljXxIAI","ka0Qk000000DdMvIAK"
"KB_General","employees_v","02oQk000000ljZZIAY","ka0Qk000000DdOXIA0"
"KB_General","employees_v","02oQk000000ljbBIAQ","ka0Qk000000DdQ9IAK"
"KB_General","employees_v","02oQk000000ljcnIAA","ka0Qk000000DdRlIAK"
"KB_General","employees_v","02oQk000000ljePIAQ","ka0Qk000000DdTNIA0"
"KB_General","employees_v","02oQk000000ljg1IAA","ka0Qk000000DdUzIAK"
"KB_General","employees_v","02oQk000000llebIAA","ka0Qk000000De9JIAS"
"KB_General","employees_v","02oQk000000m10DIAQ","ka0Qk000000DjKHIA0"
"KB_General","employees_v","02oQk000000mHRZIA2","ka0Qk000000DrUjIAK"
"KB_General","employees_v","02oQk000000mJBdIAM","ka0Qk000000Ds4DIAS"
"KB_General","employees_v","02oQk000000mc6DIAQ","ka0Qk000000Dy81IAC"
"KB_General","employees_v","02oQk000000mdBxIAI","ka0Qk000000DyzFIAS"
"KB_General","employees_v","02oQk000000msAzIAI","ka0Qk000000E4bdIAC"
"KB_General","employees_v","02oQk000000mu4jIAA","ka0Qk000000E4oXIAS"
"KB_General","employees_v","02oQk000000muCnIAI","ka0Qk000000E4rlIAC"
"KB_General","employees_v","02oQk000000muKrIAI","ka0Qk000000E4wbIAC"
"KB_General","employees_v","02oQk000000muPhIAI","ka0Qk000000E4zpIAC"
"KB_General","employees_v","02oQk000000muW9IAI","ka0Qk000000E533IAC"
"KB_General","employees_v","02oQk000000muxZIAQ","ka0Qk000000E5FxIAK"
"KB_General","employees_v","02oQk000000mvLlIAI","ka0Qk000000E5O1IAK"
"KB_General","employees_v","02oQk000000mvSDIAY","ka0Qk000000E5SrIAK"
"KB_General","employees_v","02oQk000000mvX3IAI","ka0Qk000000E5UTIA0"
"KB_General","employees_v","02oQk000000mvf7IAA","ka0Qk000000E5XhIAK"
"KB_General","employees_v","02oQk000000mvlZIAQ","ka0Qk000000E5avIAC"
"KB_General","employees_v","02oQk000000mvvFIAQ","ka0Qk000000E5flIAC"
"KB_General","employees_v","02oQk000000mw05IAA","ka0Qk000000E5hNIAS"
"KB_General","employees_v","02oQk000000mwEbIAI","ka0Qk000000E5mDIAS"
"KB_General","employees_v","02oQk000000mwMfIAI","ka0Qk000000E5pRIAS"
"KB_General","employees_v","02oQk000000mwXxIAI","ka0Qk000000E5vtIAC"
"KB_General","employees_v","02oQk000000myBZIAY","ka0Qk000000E6OvIAK"
"KB_General","employees_v","02oQk000000mzkLIAQ","ka0Qk000000E6VNIA0"
"KB_General","partners_v","02oQk000000dJfYIAU","ka0Qk000000C329IAC"
"KB_General","partners_v","02oQk000000f636IAA","ka0Qk000000CV01IAG"
"KB_General","partners_v","02oQk000000gVHBIA2","ka0Qk000000CjarIAC"
"KB_General","partners_v","02oQk000000jzDtIAI","ka0Qk000000DFfZIAW"
"KB_General","partners_v","02oQk000000lDt8IAE","ka0Qk000000DTIjIAO"
"KB_General","partners_v","02oQk000000lDrWIAU","ka0Qk000000DTSPIA4"
"KB_General","partners_v","02oQk000000lDukIAE","ka0Qk000000DTU1IAO"
"KB_General","partners_v","02oQk000000lDwMIAU","ka0Qk000000DTVdIAO"
"KB_General","partners_v","02oQk000000lDxyIAE","ka0Qk000000DTXFIA4"
"KB_General","partners_v","02oQk000000llgEIAQ","ka0Qk000000De9JIAS"
"KB_General","customers_v","02oQk000000dJfXIAU","ka0Qk000000C329IAC"
"KB_General","customers_v","02oQk000000f635IAA","ka0Qk000000CV01IAG"
"KB_General","customers_v","02oQk000000gVHAIA2","ka0Qk000000CjarIAC"
"KB_General","customers_v","02oQk000000lY6KIAU","ka0Qk000000DCD3IAO"
"KB_General","customers_v","02oQk000000jzDsIAI","ka0Qk000000DFfZIAW"
"KB_General","customers_v","02oQk000000kG1rIAE","ka0Qk000000DI0jIAG"
"KB_General","customers_v","02oQk000000lDt7IAE","ka0Qk000000DTIjIAO"
"KB_General","customers_v","02oQk000000lDrVIAU","ka0Qk000000DTSPIA4"
"KB_General","customers_v","02oQk000000lDujIAE","ka0Qk000000DTU1IAO"
"KB_General","customers_v","02oQk000000lDwLIAU","ka0Qk000000DTVdIAO"
"KB_General","customers_v","02oQk000000lDxxIAE","ka0Qk000000DTXFIA4"
"KB_General","customers_v","02oQk000000lY4iIAE","ka0Qk000000DYGnIAO"
"KB_General","customers_v","02oQk000000llgDIAQ","ka0Qk000000De9JIAS"
"KB_General","public_v","02oQk000000GHT7IAO","ka0Qk0000003VQfIAM"
"KB_General","public_v","02oQk000000OGTRIA4","ka0Qk0000005AbRIAU"
"KB_General","public_v","02oQk000000QaFyIAK","ka0Qk0000005pWXIAY"
"KB_General","public_v","02oQk000000R2LuIAK","ka0Qk00000068yzIAA"
"KB_General","public_v","02oQk000000WXaMIAW","ka0Qk0000009j17IAA"
"KB_General","public_v","02oQk000000bJdCIAU","ka0Qk000000Bei5IAC"
"KB_General","public_v","02oQk000000cEtCIAU","ka0Qk000000BmvlIAC"
"KB_General","public_v","02oQk000000ckzWIAQ","ka0Qk000000Bt9FIAS"
"KB_General","public_v","02oQk000000dJfWIAU","ka0Qk000000C329IAC"
"KB_General","public_v","02oQk000000gq0cIAA","ka0Qk000000ClsnIAC"
"KB_General","public_v","02oQk000000guqcIAA","ka0Qk000000CnEfIAK"
"KB_General","public_v","02oQk000000iF52IAE","ka0Qk000000D0NBIA0"
"KB_General","public_v","02oQk000000iF8HIAU","ka0Qk000000D0OnIAK"
"KB_General","public_v","02oQk000000jDlwIAE","ka0Qk000000D8e5IAC"
"KB_General","public_v","02oQk000000jDpAIAU","ka0Qk000000D8fhIAC"
"KB_General","public_v","02oQk000000jE24IAE","ka0Qk000000D8hJIAS"
"KB_General","public_v","02oQk000000jWjmIAE","ka0Qk000000DAmLIAW"
"KB_General","public_v","02oQk000000kFk4IAE","ka0Qk000000DHvtIAG"
"KB_General","public_v","02oQk000000kFnIIAU","ka0Qk000000DHxVIAW"
"KB_General","public_v","02oQk000000kFybIAE","ka0Qk000000DHz7IAG"
"KB_General","public_v","02oQk000000kG1qIAE","ka0Qk000000DI0jIAG"
"KB_General","public_v","02oQk000000kswiIAA","ka0Qk000000DOe1IAG"
"KB_General","public_v","02oQk000000kszwIAA","ka0Qk000000DOfdIAG"
"KB_General","public_v","02oQk000000ktETIAY","ka0Qk000000DOhFIAW"
"KB_General","public_v","02oQk000000ktHiIAI","ka0Qk000000DOirIAG"
"KB_General","public_v","02oQk000000kuYgIAI","ka0Qk000000DPAHIA4"
"KB_General","public_v","02oQk000000lUp6IAE","ka0Qk000000DXMLIA4"
"KB_General","public_v","02oQk000000lpjsIAA","ka0Qk000000DfDRIA0"
"KB_General","public_v","02oQk000000mgbFIAQ","ka0Qk000000DruXIAS"
"KB_General","public_v","02oQk000000mgY1IAI","ka0Qk000000DynxIAC"
